tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
aware_auc_min,age_group,18-30,ace_abs_logistic_log,lower,0.01868312758672892,0.02334938134423835,-0.024104387656921644
aware_auc_min,age_group,18-30,ace_abs_logistic_log,mid,0.038202772417378184,0.04411999079777741,-0.006650022804672057
aware_auc_min,age_group,18-30,ace_abs_logistic_log,upper,0.06189226596743929,0.07328934149414539,0.010925424392939108
aware_auc_min,age_group,18-30,auc,lower,0.7391304347826086,0.30434782608695654,-0.0531400966183575
aware_auc_min,age_group,18-30,auc,mid,0.9057971014492754,0.7342995169082125,0.16425120772946866
aware_auc_min,age_group,18-30,auc,upper,1.0,0.9927536231884058,0.4782608695652173
aware_auc_min,age_group,18-30,ece_q_abs,lower,0.023628146032277086,0.03065732033309559,-0.028587407227777677
aware_auc_min,age_group,18-30,ece_q_abs,mid,0.04429528903174223,0.054844026284227104,-0.010862502027766376
aware_auc_min,age_group,18-30,ece_q_abs,upper,0.06940061333783021,0.08645590230172266,0.007430440103096961
aware_auc_min,age_group,18-30,loss_bce,lower,0.05620477782341832,0.07031829072028523,-0.1682864386065369
aware_auc_min,age_group,18-30,loss_bce,mid,0.09697788235845395,0.14835414230786154,-0.05142866218740716
aware_auc_min,age_group,18-30,loss_bce,upper,0.1457670124011246,0.29761670558303543,0.0034030305385921735
aware_auc_min,age_group,30-45,ace_abs_logistic_log,lower,0.013966207541587838,0.012637295015764577,-0.012663381458230837
aware_auc_min,age_group,30-45,ace_abs_logistic_log,mid,0.028922359411445518,0.020883511820099614,0.008033252168966514
aware_auc_min,age_group,30-45,ace_abs_logistic_log,upper,0.049295638724508435,0.034082367803855755,0.028891062409657962
aware_auc_min,age_group,30-45,auc,lower,0.8080418274617205,0.8143906386157101,-0.049548736462094
aware_auc_min,age_group,30-45,auc,mid,0.878127723142039,0.8816133449520728,-0.005477405701481419
aware_auc_min,age_group,30-45,auc,upper,0.9306610232789743,0.9340221585957923,0.04319681314577373
aware_auc_min,age_group,30-45,ece_q_abs,lower,0.016601550433545945,0.021665358721122553,-0.028038485318195486
aware_auc_min,age_group,30-45,ece_q_abs,mid,0.03342452398763366,0.03781857668683347,-0.004196970571684295
aware_auc_min,age_group,30-45,ece_q_abs,upper,0.058159921202833746,0.05751582432927523,0.022361480919054308
aware_auc_min,age_group,30-45,loss_bce,lower,0.180898729243753,0.18519300153115148,-0.04487482471153216
aware_auc_min,age_group,30-45,loss_bce,mid,0.23116992607029707,0.23289109022060095,-0.0021748261142182507
