tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
aware_auc_min,age_group,18-30,ace_abs_logistic_log,lower,0.013878005045869831,0.01283469187158824,-0.004637525640030271
aware_auc_min,age_group,18-30,ace_abs_logistic_log,mid,0.024990379988799726,0.015964624831360064,0.00884399741412795
aware_auc_min,age_group,18-30,ace_abs_logistic_log,upper,0.04786729466583769,0.025467154013780018,0.02846561395105881
aware_auc_min,age_group,18-30,auc,lower,0.8357986111111111,0.9027739197530864,-0.08827160493827146
aware_auc_min,age_group,18-30,auc,mid,0.9238425925925926,0.9469135802469135,-0.020370370370370428
aware_auc_min,age_group,18-30,auc,upper,0.9729938271604938,0.9768518518518519,0.006790123456790087
aware_auc_min,age_group,18-30,ece_q_abs,lower,0.012508561661379149,0.012288694686199331,-0.014351109416152745
aware_auc_min,age_group,18-30,ece_q_abs,mid,0.028192731618472786,0.02536778857153017,0.002755787080248562
aware_auc_min,age_group,18-30,ece_q_abs,upper,0.05268965685610877,0.04854923695284074,0.017487994743979007
aware_auc_min,age_group,18-30,loss_bce,lower,0.10440900897121004,0.1053472531807858,-0.0076867644998407396
aware_auc_min,age_group,18-30,loss_bce,mid,0.16142818500021255,0.14483355227374917,0.014961852888959654
aware_auc_min,age_group,18-30,loss_bce,upper,0.24107307985847903,0.19310331352709262,0.0601363597910705
aware_auc_min,age_group,30-45,ace_abs_logistic_log,lower,0.011022759108585432,0.00978974737937902,-0.0035777496405970106
aware_auc_min,age_group,30-45,ace_abs_logistic_log,mid,0.01424373660616949,0.012386687700569776,0.001646328817348922
aware_auc_min,age_group,30-45,ace_abs_logistic_log,upper,0.02724362487280464,0.021742524545907523,0.009913886683682371
aware_auc_min,age_group,30-45,auc,lower,0.8496157224418094,0.8291977748499488,-0.00999121651295565
aware_auc_min,age_group,30-45,auc,mid,0.9119272434489827,0.8963182550139073,0.014895330112721483
aware_auc_min,age_group,30-45,auc,upper,0.9565592519396868,0.947152686283121,0.04322390572390586
aware_auc_min,age_group,30-45,ece_q_abs,lower,0.00905239250348891,0.010596819147743334,-0.011986736999219308
aware_auc_min,age_group,30-45,ece_q_abs,mid,0.018358417678601635,0.019646730773410004,-0.0012193663103971606
aware_auc_min,age_group,30-45,ece_q_abs,upper,0.033525275881419965,0.0326941769757624,0.010742906789777663
aware_auc_min,age_group,30-45,loss_bce,lower,0.1093120995113148,0.11494353613491778,-0.01667787709751735
aware_auc_min,age_group,30-45,loss_bce,mid,0.14067294500986904,0.14541646031073732,-0.004690469070488312
aware_auc_min,age_group,30-45,loss_bce,upper,0.1789762406288772,0.18146031991258985,0.010151578858420836
