tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,lower,0.009890300454323868,0.010224286679570612,-0.004112433484606622
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,mid,0.01304790744627984,0.013268377466567283,0.0004822816796905948
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,upper,0.02008634076468864,0.017151777119634837,0.004137057355346757
aware_auc_min,age_group,[18-30),auc,lower,0.7770514580607158,0.7757391102138812,-0.007790344588473367
aware_auc_min,age_group,[18-30),auc,mid,0.7910699839318802,0.7898999191001853,0.0003292846144954953
aware_auc_min,age_group,[18-30),auc,upper,0.804595594128985,0.803607148449296,0.012842011422904611
aware_auc_min,age_group,[18-30),loss_bce,lower,0.36729770961895786,0.36727868710726097,-0.005266546855307194
aware_auc_min,age_group,[18-30),loss_bce,mid,0.3762817717620758,0.3760190320230794,0.0003056703773452185
aware_auc_min,age_group,[18-30),loss_bce,upper,0.38596726999665415,0.3854044815271696,0.005564460886518195
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,lower,0.00788355330403958,0.007505183131508041,-0.0009246051604922651
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,mid,0.010869958711858953,0.0089786104447174,0.0014175338629317958
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,upper,0.014652648879833932,0.011125726920629473,0.005754026560215034
aware_auc_min,age_group,[30-45),auc,lower,0.8095808236992695,0.8119001259544882,-0.005690026083323474
aware_auc_min,age_group,[30-45),auc,mid,0.8215549430867342,0.8230144326152,-0.0017731644590310847
aware_auc_min,age_group,[30-45),auc,upper,0.8316565477051395,0.8326497733545989,0.003544428502707699
aware_auc_min,age_group,[30-45),loss_bce,lower,0.2937600385720103,0.2924817997342824,-0.001230682752152143
aware_auc_min,age_group,[30-45),loss_bce,mid,0.3001056423781925,0.2984376022046048,0.0017222650456847621
aware_auc_min,age_group,[30-45),loss_bce,upper,0.3074364688667316,0.3051914131182934,0.004526220193352298
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,lower,0.011209669312254669,0.014801643382525095,-0.010495548838630868
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,mid,0.015567486914763454,0.019213339640510748,-0.0022953086533696442
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,upper,0.02264010941332987,0.02422477570202462,0.0031576776503563567
aware_auc_min,age_group,[45-55),auc,lower,0.7512180527484168,0.7523361680998751,-0.0060638606636846115
aware_auc_min,age_group,[45-55),auc,mid,0.7640569326804916,0.7652794135499439,-0.001294508088701074
aware_auc_min,age_group,[45-55),auc,upper,0.7763402120954613,0.7775637696757066,0.0034714087731343365
aware_auc_min,age_group,[45-55),loss_bce,lower,0.436407683361103,0.43528306891739454,-0.0018415574502209761
aware_auc_min,age_group,[45-55),loss_bce,mid,0.44447693966649576,0.44316474818116625,0.0012142163044535914
aware_auc_min,age_group,[45-55),loss_bce,upper,0.45258002790853324,0.45135899684133834,0.004931355211614008
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,lower,0.012063879286876338,0.01538099846387956,-0.009934134633946053
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,mid,0.01627439447919299,0.020111482318008623,-0.0034153510482630104
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,upper,0.02294318913351782,0.02617958248694463,0.0007748627853714835
aware_auc_min,age_group,[55-65),auc,lower,0.7403486104843221,0.740571518486141,-0.004805986624424452
aware_auc_min,age_group,[55-65),auc,mid,0.7513584201731024,0.7518736041709251,-0.0005759050033283253
aware_auc_min,age_group,[55-65),auc,upper,0.7625306152928543,0.7631549820084851,0.003902566804694544
aware_auc_min,age_group,[55-65),loss_bce,lower,0.45548304370528314,0.4548028230543799,-0.00191368347652789
aware_auc_min,age_group,[55-65),loss_bce,mid,0.4631220976436967,0.4625151392139967,0.0005854340062634855
aware_auc_min,age_group,[55-65),loss_bce,upper,0.4705013072732353,0.4700262066164449,0.0030232499068123596
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,lower,0.01332081483906201,0.017419573792532547,-0.017101492422278923
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,mid,0.019972856026230675,0.025354606630030987,-0.003528552448506625
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,upper,0.026401105597013794,0.03180105601833267,-0.001004626188742842
aware_auc_min,age_group,[65-75),auc,lower,0.7366966494787343,0.7369206919855353,-0.005333556687106372
aware_auc_min,age_group,[65-75),auc,mid,0.7481498759321912,0.7476592238358722,-3.0024827486319072e-05
aware_auc_min,age_group,[65-75),auc,upper,0.7603794407154993,0.7585741979628836,0.008297027466654214
aware_auc_min,age_group,[65-75),loss_bce,lower,0.4696167408740855,0.47044564463813365,-0.007126844011357307
aware_auc_min,age_group,[65-75),loss_bce,mid,0.4778879349755162,0.47838570888717524,0.0002623221428323941
aware_auc_min,age_group,[65-75),loss_bce,upper,0.48522604122317736,0.4860463941517091,0.0032787583456318566
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,lower,0.013741207818617178,0.01814313387873212,-0.008613304020439472
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,mid,0.023736465957042277,0.025053634813317245,-0.000277302082835924
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,upper,0.03197151679165758,0.032460911865398664,0.004338502718225756
aware_auc_min,age_group,[75-91),auc,lower,0.6719087665691953,0.6697106655083183,-0.005746672143005346
aware_auc_min,age_group,[75-91),auc,mid,0.6843649070891484,0.6836183646120118,0.0006728607234374739
aware_auc_min,age_group,[75-91),auc,upper,0.6975340399188643,0.6977216874575958,0.00851448648110653
aware_auc_min,age_group,[75-91),loss_bce,lower,0.4979725385628117,0.4983788240642326,-0.006477933621077246
aware_auc_min,age_group,[75-91),loss_bce,mid,0.5052136914220391,0.5061265967935046,-0.0006723238524141972
aware_auc_min,age_group,[75-91),loss_bce,upper,0.5125323648820798,0.5138807392709813,0.003534005991051021
aware_auc_min,age_group,overall,ace_abs_logistic_log,lower,0.010303257248953401,0.013107383501014255,-0.006419632354037388
aware_auc_min,age_group,overall,ace_abs_logistic_log,mid,0.014089938505866846,0.016557720635788253,-0.001945366840362281
aware_auc_min,age_group,overall,ace_abs_logistic_log,upper,0.01937605098464081,0.019929344526255523,0.0004290279316137471
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,lower,0.014516648292588525,0.020252305402971075,-0.008666209365948384
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,mid,0.02428827521893461,0.02750015453868071,-0.0037979837565534844
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,upper,0.03197151679165758,0.03286374531630942,0.002655379930322413
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,lower,0.00788355330403958,0.007505183131508041,-0.000975815413247628
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,mid,0.010472800692129105,0.0089786104447174,0.0012506406037573721
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,upper,0.014006853202859779,0.01097840430051169,0.004319552065196166
aware_auc_min,age_group,overall,auc,lower,0.762647243272979,0.7628255779383907,-0.002363839520445671
aware_auc_min,age_group,overall,auc,mid,0.7674067004894247,0.7674733221337222,-0.0002926757371132238
aware_auc_min,age_group,overall,auc,upper,0.772291583608288,0.7720019076997676,0.0030387276556518646
aware_auc_min,age_group,overall,auc_max,lower,0.8095855722823389,0.8119001259544882,-0.0056813007051604945
aware_auc_min,age_group,overall,auc_max,mid,0.8215549430867342,0.8230144326152,-0.0017731644590310847
aware_auc_min,age_group,overall,auc_max,upper,0.8316565477051395,0.8326497733545989,0.003544428502707699
aware_auc_min,age_group,overall,auc_min,lower,0.6719087665691953,0.6697106655083183,-0.005746672143005346
aware_auc_min,age_group,overall,auc_min,mid,0.6843649070891484,0.6836183646120118,0.0006728607234374739
aware_auc_min,age_group,overall,auc_min,upper,0.6975340399188643,0.6977216874575958,0.00851448648110653
aware_auc_min,age_group,overall,loss_bce,lower,0.42121474591677965,0.4207987564394924,-0.0013064690571322145
aware_auc_min,age_group,overall,loss_bce,mid,0.42423019340637336,0.4238562726751981,0.0003889400265454923
aware_auc_min,age_group,overall,loss_bce,upper,0.42735763502657964,0.42682423447732804,0.0022631979034373403
aware_auc_min,age_group,overall,loss_bce_max,lower,0.4979725385628117,0.4983788240642326,-0.006477933621077246
