tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,lower,0.0040260037898779445,0.006994083170015287,-0.004685484254125324
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,mid,0.007029634682153471,0.009369561607927184,-0.0021604543883741263
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,upper,0.010848128354375588,0.011495426244857773,0.00027201893623857263
aware_auc_min,age_group,[18-30),auc,lower,0.6487153439396374,0.6401698940900082,-0.00912689302631669
aware_auc_min,age_group,[18-30),auc,mid,0.7429023470082723,0.7258517183590074,0.01633990679308528
aware_auc_min,age_group,[18-30),auc,upper,0.825871853884004,0.8048497918531952,0.04624895735286241
aware_auc_min,age_group,[18-30),loss_bce,lower,0.040147793504395936,0.04087014661384419,-0.0015722052406676437
aware_auc_min,age_group,[18-30),loss_bce,mid,0.051092010329202936,0.04630718891649169,0.004691155425531196
aware_auc_min,age_group,[18-30),loss_bce,upper,0.070783438455885,0.053429250213372415,0.019213602693709256
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,lower,0.0014854648309787432,0.003850169440258834,-0.00283387886054672
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,mid,0.0026747511900368478,0.00445309875178108,-0.0019295671363406873
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,upper,0.00490489293225499,0.005778552459243687,-0.0005146847462769457
aware_auc_min,age_group,[30-45),auc,lower,0.8692819741426304,0.8582392598209874,-0.0028600262735590243
aware_auc_min,age_group,[30-45),auc,mid,0.9014655360610343,0.8910390950048321,0.009401287123530389
aware_auc_min,age_group,[30-45),auc,upper,0.9289286662657971,0.9198735281764132,0.028155763394982998
aware_auc_min,age_group,[30-45),loss_bce,lower,0.025961684805583068,0.02778866922318538,-0.0022954617087630144
aware_auc_min,age_group,[30-45),loss_bce,mid,0.028213909487055114,0.029460069523719747,-0.001279391749782862
aware_auc_min,age_group,[30-45),loss_bce,upper,0.03043358713910215,0.03138458780236863,-0.0002960736764905122
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,lower,0.0019446832225865234,0.001279131374349754,-0.002034133598321488
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,mid,0.005457640206906698,0.002851629678967219,0.002709394077789757
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,upper,0.009737794345110545,0.005284838463572861,0.007728912732640051
aware_auc_min,age_group,[45-55),auc,lower,0.7908181903084641,0.7846429181342727,-0.007894439107695637
aware_auc_min,age_group,[45-55),auc,mid,0.826111911623439,0.8193094246984737,0.006200768491834707
aware_auc_min,age_group,[45-55),auc,upper,0.8612066122318284,0.8542403938520653,0.022112365247091405
aware_auc_min,age_group,[45-55),loss_bce,lower,0.0757007849585348,0.07708649964402048,-0.0021353893283629307
aware_auc_min,age_group,[45-55),loss_bce,mid,0.08086222101549036,0.08065156457253998,0.0001185402510528108
aware_auc_min,age_group,[45-55),loss_bce,upper,0.08814425609278159,0.08422851565742946,0.005426544508828299
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,lower,0.002095697800783729,0.0011494322748241068,-0.000995654838587562
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,mid,0.00654966676166823,0.003662883647986341,0.003131188241750031
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,upper,0.013745727837300459,0.00517023313852083,0.00918344433361241
aware_auc_min,age_group,[55-65),auc,lower,0.7974934833298114,0.7965940417643216,-0.007194121729357999
aware_auc_min,age_group,[55-65),auc,mid,0.8212528295936271,0.8183635023245092,0.002913440849886595
aware_auc_min,age_group,[55-65),auc,upper,0.842958068984452,0.8393843412609981,0.013426401749465305
aware_auc_min,age_group,[55-65),loss_bce,lower,0.10707066406268187,0.10784351929979441,-0.0018533868437520442
aware_auc_min,age_group,[55-65),loss_bce,mid,0.11255356973446265,0.11121717530790903,0.0011916460971697213
aware_auc_min,age_group,[55-65),loss_bce,upper,0.12225643166453762,0.11471295758131712,0.008904440311857264
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,lower,0.0063783982401983096,0.0009611734977800106,0.002573447484285378
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,mid,0.009663526206099803,0.0034254670189336244,0.006640779340190818
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,upper,0.015758036986565773,0.006367296129461852,0.01153889002603083
aware_auc_min,age_group,[65-75),auc,lower,0.7658686914936915,0.761934422059422,-0.007774552299552396
aware_auc_min,age_group,[65-75),auc,mid,0.7944123931623932,0.7890783475783476,0.004786528286528369
aware_auc_min,age_group,[65-75),auc,upper,0.8180303266178266,0.8120321682946682,0.02062246642246652
aware_auc_min,age_group,[65-75),loss_bce,lower,0.10619090982703362,0.10528258617812415,-0.0006558318773027278
aware_auc_min,age_group,[65-75),loss_bce,mid,0.11137538873113853,0.10873550789588901,0.0024186402339718555
aware_auc_min,age_group,[65-75),loss_bce,upper,0.12163574938316692,0.11285875657486727,0.011070096181794985
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,lower,0.008414235315677653,0.005156818356353264,0.002279177152402017
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,mid,0.014193744477001216,0.008389488535122364,0.0052410732373913355
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,upper,0.023622346439214854,0.011363847800251192,0.01343619972465521
aware_auc_min,age_group,[75-91),auc,lower,0.7083898062122109,0.7047391416837208,-0.007333122001929862
aware_auc_min,age_group,[75-91),auc,mid,0.7343208414719233,0.7297804795047387,0.004570663161051647
aware_auc_min,age_group,[75-91),auc,upper,0.7592748458135404,0.7537427180015507,0.015787069625927814
aware_auc_min,age_group,[75-91),loss_bce,lower,0.16002961271493665,0.1588619073771764,-0.00031217923968706457
aware_auc_min,age_group,[75-91),loss_bce,mid,0.16721513552114675,0.16318839592430812,0.003655688693399689
aware_auc_min,age_group,[75-91),loss_bce,upper,0.18379887098958633,0.16805368168665774,0.01759334639880532
aware_auc_min,age_group,overall,ace_abs_logistic_log,lower,0.004818829362078661,0.001179489384086057,0.0020070726079271573
aware_auc_min,age_group,overall,ace_abs_logistic_log,mid,0.006931294490668989,0.0022696948081762144,0.004738715140337059
aware_auc_min,age_group,overall,ace_abs_logistic_log,upper,0.011319045207297856,0.003527477954415359,0.008813536664179398
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,lower,0.009195335984172782,0.007821173492331142,-0.0008945809977392172
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,mid,0.014199865939982952,0.009744014617571545,0.004529277830010023
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,upper,0.023622346439214854,0.011690557257148477,0.013300456174964127
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,lower,0.0012974311130834737,0.0008863555515068888,-0.0015198276354382824
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,mid,0.002537071569986036,0.0019914746155622496,0.0005356074550344856
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,upper,0.004497056768110232,0.003428945685773837,0.0024865930341395072
aware_auc_min,age_group,overall,auc,lower,0.818950085327225,0.8110772236440178,0.0013289519024036163
aware_auc_min,age_group,overall,auc,mid,0.830309784511384,0.822694628251571,0.006717220214893904
aware_auc_min,age_group,overall,auc,upper,0.8407398336833167,0.8338543857542202,0.016481441015394782
aware_auc_min,age_group,overall,auc_max,lower,0.8692819741426304,0.8582514199594791,-0.0028600262735590243
aware_auc_min,age_group,overall,auc_max,mid,0.9014655360610343,0.8910390950048321,0.009393627193771958
aware_auc_min,age_group,overall,auc_max,upper,0.9289286662657971,0.9198735281764132,0.028126719494648848
aware_auc_min,age_group,overall,auc_min,lower,0.6487153439396374,0.6401698940900082,-0.00896944374296929
aware_auc_min,age_group,overall,auc_min,mid,0.7251601821130231,0.7173932098918194,0.007530125955841127
aware_auc_min,age_group,overall,auc_min,upper,0.7544633037003196,0.7469849845930083,0.03532961127778947
aware_auc_min,age_group,overall,loss_bce,lower,0.08866337352210049,0.08844343314671872,-0.000492276888976336
aware_auc_min,age_group,overall,loss_bce,mid,0.09150981511519293,0.0898199872548491,0.0017046363634595288
aware_auc_min,age_group,overall,loss_bce,upper,0.09824957822418297,0.0914266417585803,0.0076875635721137875
aware_auc_min,age_group,overall,loss_bce_max,lower,0.16002961271493665,0.1588619073771764,-0.00031217923968706457
aware_auc_min,age_group,overall,loss_bce_max,mid,0.16721513552114675,0.16318839592430812,0.003655688693399689
aware_auc_min,age_group,overall,loss_bce_max,upper,0.18379887098958633,0.16805368168665774,0.01759334639880532
aware_auc_min,age_group,overall,loss_bce_min,lower,0.025961684805583068,0.02778866922318538,-0.0022954617087630144
aware_auc_min,age_group,overall,loss_bce_min,mid,0.028213909487055114,0.029460069523719747,-0.001279391749782862
aware_auc_min,age_group,overall,loss_bce_min,upper,0.03043358713910215,0.03138458780236863,-0.0002960736764905122
aware_auc_min,gender_concept_name,FEMALE,ace_abs_logistic_log,lower,0.001856799557247666,0.0007650720563241551,0.0006458400125145655
aware_auc_min,gender_concept_name,FEMALE,ace_abs_logistic_log,mid,0.00480756757213499,0.0018931541980162494,0.0029455211156778275
aware_auc_min,gender_concept_name,FEMALE,ace_abs_logistic_log,upper,0.006813075141145123,0.003074756751168251,0.003997592502822483
aware_auc_min,gender_concept_name,FEMALE,auc,lower,0.8427425352426567,0.8349563868368352,0.00019045975624961713
aware_auc_min,gender_concept_name,FEMALE,auc,mid,0.8570239957644744,0.8498029050290236,0.00700404632349666
aware_auc_min,gender_concept_name,FEMALE,auc,upper,0.8708671629698832,0.8643622742149987,0.014882525415906966
aware_auc_min,gender_concept_name,FEMALE,loss_bce,lower,0.07149136727691914,0.07196009412980635,-0.00139964981665942
aware_auc_min,gender_concept_name,FEMALE,loss_bce,mid,0.07392337318370155,0.07385552896421685,0.00020026082970399373
aware_auc_min,gender_concept_name,FEMALE,loss_bce,upper,0.07712052450830101,0.0758352502534013,0.0018211004063676262
aware_auc_min,gender_concept_name,MALE,ace_abs_logistic_log,lower,0.006901960849664276,0.001658237923378265,0.003772573353921919
aware_auc_min,gender_concept_name,MALE,ace_abs_logistic_log,mid,0.010029533116100633,0.003457947985962548,0.00620951364440697
aware_auc_min,gender_concept_name,MALE,ace_abs_logistic_log,upper,0.012997039660874881,0.005963594139110441,0.008628987693655383
aware_auc_min,gender_concept_name,MALE,auc,lower,0.7749331287004083,0.7675012604378754,-0.0023765935039162687
aware_auc_min,gender_concept_name,MALE,auc,mid,0.7930052946444679,0.7860036226514779,0.006781177734407007
aware_auc_min,gender_concept_name,MALE,auc,upper,0.809760718517681,0.804489102758598,0.01689207594960069
aware_auc_min,gender_concept_name,MALE,loss_bce,lower,0.1094057121945528,0.10852629263553018,5.9947000140431924e-05
aware_auc_min,gender_concept_name,MALE,loss_bce,mid,0.11335414701673924,0.11110084330887515,0.002314982832588054
aware_auc_min,gender_concept_name,MALE,loss_bce,upper,0.11871234702471958,0.11403701506915487,0.005376559356410459
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log,lower,0.00409790532583937,0.0011532390835440384,0.002319997295979246
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log,mid,0.007023197989014603,0.002314837687176028,0.004818975052916381
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log,upper,0.008840936178758991,0.0036202822284466555,0.006006571167601931
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log_max,lower,0.006901960849664276,0.0020864760417509663,0.0037593933061801964
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log_max,mid,0.010029533116100633,0.0034639258952021542,0.006069519527142644
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log_max,upper,0.012997039660874881,0.005963594139110441,0.008619454638452933
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log_min,lower,0.001856799557247666,0.0007650720563241551,0.0006458400125145655
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log_min,mid,0.00480756757213499,0.0018427262488770395,0.0029661321056842233
aware_auc_min,gender_concept_name,overall,ace_abs_logistic_log_min,upper,0.006811568441381368,0.0029695593183881926,0.004413538100269331
aware_auc_min,gender_concept_name,overall,auc,lower,0.8183204947191827,0.8102954913451786,0.0008276588404249552
aware_auc_min,gender_concept_name,overall,auc,mid,0.8295273746975089,0.8224104561052101,0.006732808280407121
aware_auc_min,gender_concept_name,overall,auc,upper,0.8405137662286252,0.8343345372152641,0.014227345358706895
aware_auc_min,gender_concept_name,overall,auc_max,lower,0.8427425352426567,0.8349563868368352,0.00019045975624961713
aware_auc_min,gender_concept_name,overall,auc_max,mid,0.8570239957644744,0.8498029050290236,0.00700404632349666
aware_auc_min,gender_concept_name,overall,auc_max,upper,0.8708671629698832,0.8643622742149987,0.014882525415906966
aware_auc_min,gender_concept_name,overall,auc_min,lower,0.7749331287004083,0.7675012604378754,-0.0023765935039162687
aware_auc_min,gender_concept_name,overall,auc_min,mid,0.7930052946444679,0.7860036226514779,0.006781177734407007
aware_auc_min,gender_concept_name,overall,auc_min,upper,0.809760718517681,0.804489102758598,0.01689207594960069
aware_auc_min,gender_concept_name,overall,loss_bce,lower,0.08852831942622157,0.08833255019909149,-0.000566484619067779
aware_auc_min,gender_concept_name,overall,loss_bce,mid,0.09087860661609572,0.0898626668642904,0.0011865950556121732
aware_auc_min,gender_concept_name,overall,loss_bce,upper,0.0939634699004547,0.09154051437833374,0.002895642829335085
aware_auc_min,gender_concept_name,overall,loss_bce_max,lower,0.1094057121945528,0.10852629263553018,5.9947000140431924e-05
aware_auc_min,gender_concept_name,overall,loss_bce_max,mid,0.11335414701673924,0.11110084330887515,0.002314982832588054
aware_auc_min,gender_concept_name,overall,loss_bce_max,upper,0.11871234702471958,0.11403701506915487,0.005376559356410459
aware_auc_min,gender_concept_name,overall,loss_bce_min,lower,0.07149136727691914,0.07196009412980635,-0.00139964981665942
aware_auc_min,gender_concept_name,overall,loss_bce_min,mid,0.07392337318370155,0.07385552896421685,0.00020026082970399373
aware_auc_min,gender_concept_name,overall,loss_bce_min,upper,0.07712052450830101,0.0758352502534013,0.0018211004063676262
aware_auc_min,race_eth,Asian,ace_abs_logistic_log,lower,0.0027839327920298187,0.0005644502281278054,-0.0010550050039695922
aware_auc_min,race_eth,Asian,ace_abs_logistic_log,mid,0.006879852606187729,0.0026414761765754607,0.004791356659314327
aware_auc_min,race_eth,Asian,ace_abs_logistic_log,upper,0.011747387889593126,0.005769840664204715,0.007217964764152257
aware_auc_min,race_eth,Asian,auc,lower,0.8207075726818714,0.8097011791902462,-0.003094564673617331
aware_auc_min,race_eth,Asian,auc,mid,0.8468303359939062,0.8370818611991075,0.009063039733770928
aware_auc_min,race_eth,Asian,auc,upper,0.8693201959255539,0.8616713123281534,0.025393173979925177
aware_auc_min,race_eth,Asian,loss_bce,lower,0.08494329417979589,0.08528628229289674,-0.0018927786117113239
aware_auc_min,race_eth,Asian,loss_bce,mid,0.09044600529313493,0.08945459706310768,0.0010584551445982499
aware_auc_min,race_eth,Asian,loss_bce,upper,0.09987757986099839,0.09459900670802164,0.006090783093677793
aware_auc_min,race_eth,Black or African American,ace_abs_logistic_log,lower,0.005852491333373599,0.004293983622053759,-0.0031423164404405773
aware_auc_min,race_eth,Black or African American,ace_abs_logistic_log,mid,0.009489497871210643,0.006481699958648904,0.0026319880161472463
aware_auc_min,race_eth,Black or African American,ace_abs_logistic_log,upper,0.012130175877560559,0.010546190410837958,0.005962484241340392
aware_auc_min,race_eth,Black or African American,auc,lower,0.7807403460381144,0.7729425777331995,-0.0215399322968906
aware_auc_min,race_eth,Black or African American,auc,mid,0.8338797642928786,0.8281281344032096,0.004582497492477411
aware_auc_min,race_eth,Black or African American,auc,upper,0.8781977181544633,0.8748319959879638,0.036892866098294876
aware_auc_min,race_eth,Black or African American,loss_bce,lower,0.07745798155182544,0.07790731717792775,-0.002633524549613786
aware_auc_min,race_eth,Black or African American,loss_bce,mid,0.08295127508446387,0.08261972803783485,0.00039149650645824846
aware_auc_min,race_eth,Black or African American,loss_bce,upper,0.08880980444758575,0.08771823546244223,0.0032128762234564373
aware_auc_min,race_eth,Hispanic or Latino,ace_abs_logistic_log,lower,0.001284757449496584,0.0008617419472139572,-0.0021975267120675035
aware_auc_min,race_eth,Hispanic or Latino,ace_abs_logistic_log,mid,0.004799981526915378,0.0021924914703183203,0.00265067368607323
aware_auc_min,race_eth,Hispanic or Latino,ace_abs_logistic_log,upper,0.0072303483622635474,0.004216608034138838,0.005047362073473777
aware_auc_min,race_eth,Hispanic or Latino,auc,lower,0.825894663841122,0.8166981152611299,-0.003229401975428564
aware_auc_min,race_eth,Hispanic or Latino,auc,mid,0.8512505242709874,0.8412007706476924,0.009905349158345789
aware_auc_min,race_eth,Hispanic or Latino,auc,upper,0.8732137688890851,0.8651695894007736,0.022712231640704565
aware_auc_min,race_eth,Hispanic or Latino,loss_bce,lower,0.07508116035616992,0.07621019675636678,-0.002381728005715275
aware_auc_min,race_eth,Hispanic or Latino,loss_bce,mid,0.07850378337545252,0.07907477317369596,-0.0004683914121434013
aware_auc_min,race_eth,Hispanic or Latino,loss_bce,upper,0.08265663390517339,0.08196580042002823,0.0015046148294111565
aware_auc_min,race_eth,Other,ace_abs_logistic_log,lower,0.0014090924886438773,0.0011469132395392442,-0.0011200250562569763
aware_auc_min,race_eth,Other,ace_abs_logistic_log,mid,0.00546143485346281,0.0034359211802092674,0.0022927061270045326
aware_auc_min,race_eth,Other,ace_abs_logistic_log,upper,0.011320738426091163,0.006269097019523204,0.005421771581076943
aware_auc_min,race_eth,Other,auc,lower,0.8232010575644594,0.8114957997506839,0.0024872393009712224
aware_auc_min,race_eth,Other,auc,mid,0.8519018136282095,0.8377145302581205,0.013320527810255611
aware_auc_min,race_eth,Other,auc,upper,0.8751227589155035,0.8616025399665377,0.027020385033863475
aware_auc_min,race_eth,Other,loss_bce,lower,0.10157098969616678,0.10476268590248705,-0.004484234293977445
aware_auc_min,race_eth,Other,loss_bce,mid,0.10812931362121364,0.10979612270307242,-0.0015716937133479353
aware_auc_min,race_eth,Other,loss_bce,upper,0.11738890466709193,0.11577975841091465,0.002240513129739682
aware_auc_min,race_eth,White,ace_abs_logistic_log,lower,0.0043158390276147336,0.001325967254582741,0.0014734033683201889
aware_auc_min,race_eth,White,ace_abs_logistic_log,mid,0.007244382243299726,0.0027706128010629855,0.0047410686511932774
aware_auc_min,race_eth,White,ace_abs_logistic_log,upper,0.009338615115277312,0.004281247814211649,0.006018372402786435
aware_auc_min,race_eth,White,auc,lower,0.7927725676601577,0.788878048695987,-0.004125934987120672
aware_auc_min,race_eth,White,auc,mid,0.8101422287825716,0.8052587657071344,0.004652587800646701
aware_auc_min,race_eth,White,auc,upper,0.8267255570283465,0.8216189709623388,0.014586613716107552
aware_auc_min,race_eth,White,loss_bce,lower,0.08798047322722677,0.08748651269067988,-7.068248194903695e-05
aware_auc_min,race_eth,White,loss_bce,mid,0.09084575665646191,0.08956085943029393,0.0012971715683533294
aware_auc_min,race_eth,White,loss_bce,upper,0.09400283130137228,0.09181172726873221,0.002773062623119431
aware_auc_min,race_eth,overall,ace_abs_logistic_log,lower,0.003799450717676526,0.0011513187293003698,0.0009599548525915737
